"GDP","Year","France","Romania","USA"
"1990","21300","1650","23954"
"1995","26403","1563","28781"
"2000","21774","1662","36467"
"2005","33818","4651","44313"
"2010","39448","8139","48357"
"2013","41420","9499","53142"
